topic_1,topic_2,topic_3,topic_4,topic_5
"[('pay', 0.033574639621783135), ('payment', 0.02915260065540864), ('interest', 0.02847618065125442), ('student', 0.025242603599714176), ('balance', 0.014811424509959155), ('school', 0.01017294112663321), ('navient', 0.008843700674582887), ('help', 0.007917967474113812), ('repayment', 0.007702006137954918)]","[('nelnet', 0.056377788116787175), ('student', 0.025630094790359683), ('education', 0.02275500271892291), ('department', 0.020744072781284567), ('receive', 0.01445954217683352), ('discharge', 0.011770738071585437), ('borrower', 0.010903380114008059), ('information', 0.009096133047685574), ('federal', 0.009001282793630473)]","[('credit', 0.07809558995125362), ('report', 0.07076728307359399), ('account', 0.03900012588085067), ('information', 0.02400536665344886), ('debt', 0.021011600879888487), ('financial', 0.012877831205451886), ('late', 0.01199450172490484), ('reporting', 0.011659321148154836), ('ed', 0.011524929073781276)]","[('payment', 0.04836802353050994), ('plan', 0.019838459503213307), ('account', 0.019763676992427297), ('email', 0.014548932515276334), ('receive', 0.013385777449984742), ('application', 0.012978698094457602), ('due', 0.012028395145227359), ('nelnet', 0.012013268209909063), ('save', 0.011166102124943587)]","[('mohela', 0.05844835498805712), ('payment', 0.047152537825428324), ('pslf', 0.02292408782764981), ('refund', 0.021682821021257317), ('forgiveness', 0.017668959509709238), ('count', 0.016677355859686546), ('process', 0.014596302287581745), ('receive', 0.013702901941471016), ('qualify', 0.01263551127731549)]"
"[('pay', 0.03274821215734727), ('payment', 0.028894246559307814), ('student', 0.025611663856854577), ('interest', 0.022050130469237948), ('balance', 0.013892553898371164), ('school', 0.012191214665873822), ('navient', 0.010161703633344777), ('forbearance', 0.008097366223838458), ('deferment', 0.008069422773435812)]","[('nelnet', 0.04347226556522295), ('student', 0.027090785356948314), ('education', 0.022409386363776054), ('department', 0.021710519171712676), ('receive', 0.014788877789891276), ('borrower', 0.011145361598124143), ('discharge', 0.01023727448239596), ('federal', 0.009949867386914004), ('information', 0.009411628831050527)]","[('credit', 0.07364663246590641), ('report', 0.060324046656794444), ('account', 0.03737171260522456), ('information', 0.027189047123292204), ('debt', 0.020447943226193525), ('financial', 0.013524469885832764), ('reporting', 0.012517292692506479), ('ed', 0.011890878875647944), ('late', 0.011687365608881409)]","[('payment', 0.051727789119186636), ('account', 0.021565405221078856), ('plan', 0.016693259361299718), ('email', 0.015807348097362412), ('receive', 0.014753934172558013), ('due', 0.012912194431516845), ('application', 0.010997793751525582), ('hour', 0.010483638445148649), ('pay', 0.009973768164436592)]","[('mohela', 0.05296962767300341), ('payment', 0.03860439016813057), ('refund', 0.021314974659274056), ('pslf', 0.02023884903299136), ('process', 0.017027367370251068), ('forgiveness', 0.016830746287796548), ('count', 0.014577839235102079), ('form', 0.013927564170944644), ('receive', 0.013896148529326106)]"
"[('pay', 0.032164910324259), ('payment', 0.029382538676926084), ('student', 0.02394913432573815), ('interest', 0.020487206882075806), ('balance', 0.014030986872191502), ('navient', 0.012895465962397466), ('school', 0.012726745636248), ('forbearance', 0.008205525560014932), ('program', 0.007478120346934432)]","[('nelnet', 0.04336786267246835), ('student', 0.02440856656867407), ('education', 0.02091595450229949), ('department', 0.020854202471343435), ('receive', 0.017443381006396353), ('borrower', 0.011604877009650015), ('federal', 0.010693506058947977), ('email', 0.009965026490171471), ('information', 0.009535624988851585)]","[('credit', 0.07376158783433681), ('report', 0.056923891575297474), ('account', 0.03579000202574195), ('information', 0.030543941234492656), ('debt', 0.02067558295410126), ('financial', 0.014693469190603428), ('reporting', 0.013038798235577789), ('late', 0.011282167918586807), ('ed', 0.01096775401370523)]","[('payment', 0.052748710631853706), ('account', 0.023987372908917837), ('plan', 0.017093654499938372), ('receive', 0.015485320799083036), ('email', 0.014415264336200787), ('due', 0.012044682920899151), ('application', 0.011350191036027926), ('pay', 0.009947510113026463), ('mohela', 0.009590058707634842)]","[('mohela', 0.0481877010774254), ('payment', 0.03499019461946826), ('refund', 0.030814026471512386), ('process', 0.019146545041128372), ('pslf', 0.01697018490888064), ('receive', 0.015749246680913525), ('forgiveness', 0.015408570796065243), ('submit', 0.01442446450841255), ('application', 0.013872842680113703)]"
"[('pay', 0.03040412901431711), ('payment', 0.026635711640666186), ('interest', 0.02367701552629045), ('student', 0.0225003717900829), ('balance', 0.013931581310047932), ('navient', 0.012327258107039982), ('school', 0.011336750998025962), ('forbearance', 0.008035738068293549), ('program', 0.007515635129278401)]","[('nelnet', 0.03964976278407015), ('student', 0.024459504704942212), ('department', 0.02239134768480635), ('education', 0.021589309241306684), ('receive', 0.01792394538662209), ('federal', 0.012183153752560818), ('borrower', 0.011880190971121163), ('email', 0.009688903778140592), ('discharge', 0.009570694119606418)]","[('credit', 0.06933969498312416), ('report', 0.053311642170827456), ('information', 0.03217738133405836), ('account', 0.029706105348002172), ('debt', 0.01855826477951137), ('financial', 0.017342898394528468), ('reporting', 0.013961834864697707), ('late', 0.011422119802981955), ('ed', 0.011277333022552839)]","[('payment', 0.05972075731732003), ('account', 0.026168859643997313), ('receive', 0.015875717912853575), ('plan', 0.01580955972421617), ('email', 0.014108662761812715), ('due', 0.013541295327210306), ('pay', 0.01147712763911168), ('mohela', 0.010213025774216185), ('hour', 0.009014657750984935)]","[('mohela', 0.042188400976829826), ('payment', 0.040466802002203796), ('refund', 0.03248778863325449), ('process', 0.017754173253455796), ('forgiveness', 0.0159941702507454), ('pslf', 0.015332708113728234), ('form', 0.014640947183245842), ('submit', 0.014628075077344652), ('receive', 0.014608713211250157)]"
"[('payment', 0.02668730479223294), ('pay', 0.024629389205140104), ('interest', 0.02206216069767464), ('student', 0.021127994163553793), ('navient', 0.015383816991096103), ('school', 0.011338426653075547), ('balance', 0.010594893143445215), ('forbearance', 0.008047199027586327), ('help', 0.007310120602887779)]","[('nelnet', 0.03685620379317745), ('student', 0.024190834706288532), ('department', 0.022635043366116884), ('education', 0.021405395857192692), ('receive', 0.017403429443539065), ('borrower', 0.012445679916764728), ('federal', 0.012362102772323389), ('information', 0.009969677753046765), ('service', 0.009903450951514502)]","[('credit', 0.06886564706596485), ('report', 0.05518958877257488), ('account', 0.031177093726627626), ('information', 0.029331632908736256), ('debt', 0.018898277822523204), ('reporting', 0.014327853608328984), ('financial', 0.013819847274997986), ('late', 0.012401335364677355), ('right', 0.011432838445197213)]","[('payment', 0.061395007312184724), ('account', 0.025930945751683213), ('receive', 0.017491862695960855), ('plan', 0.017002944474070213), ('mohela', 0.01339512211288371), ('email', 0.013074654675375072), ('due', 0.01301383007757687), ('pay', 0.012065258637489999), ('information', 0.009645837764021822)]","[('refund', 0.04063282744538395), ('payment', 0.03816044667027543), ('mohela', 0.023522594991641756), ('pslf', 0.016942351233614122), ('process', 0.016803798379420972), ('forgiveness', 0.01622456313135845), ('receive', 0.015101435774415617), ('service', 0.014448549206393555), ('submit', 0.013662044862751814)]"
"[('payment', 0.027023799860980448), ('pay', 0.02248549518736974), ('interest', 0.022319272792275868), ('student', 0.019990716035384996), ('navient', 0.014796352216754715), ('school', 0.011498082728484068), ('balance', 0.00876949891399951), ('forbearance', 0.007943433655087314), ('program', 0.007556392452243866)]","[('student', 0.02660219361213541), ('nelnet', 0.02277103674056308), ('department', 0.020898602250589676), ('education', 0.020685817965772166), ('receive', 0.01782161515330686), ('borrower', 0.013182926835365), ('federal', 0.01282529328357564), ('information', 0.010136122874676226), ('service', 0.00999185412538676)]","[('credit', 0.07222474467850282), ('report', 0.060241088635254444), ('account', 0.03405530777244419), ('information', 0.025984017048365376), ('debt', 0.019436900521261184), ('late', 0.013625780995827706), ('reporting', 0.013589620304557109), ('financial', 0.011992226869028318), ('right', 0.011897144000050933)]","[('payment', 0.058093463205132784), ('account', 0.02194977998199124), ('plan', 0.01679238134886821), ('receive', 0.015940223821057455), ('mohela', 0.015697084324471585), ('due', 0.01355763104605179), ('email', 0.012896469487456399), ('pay', 0.01129564104725853), ('forbearance', 0.010158383338208607)]","[('refund', 0.04252001055777742), ('payment', 0.039340672525489964), ('pslf', 0.0196360864313474), ('forgiveness', 0.01706822591603797), ('mohela', 0.016148049845667714), ('service', 0.015944229529246692), ('receive', 0.014982096938022027), ('process', 0.01496491456747042), ('count', 0.013718333101597615)]"
"[('payment', 0.026419813679161852), ('pay', 0.024932582094881618), ('interest', 0.022744080087191476), ('student', 0.020108659205507962), ('navient', 0.015584585788251807), ('school', 0.011144908766004153), ('forbearance', 0.00816108979493395), ('balance', 0.008034425379474014), ('program', 0.007879395803045216)]","[('student', 0.02411242338570277), ('education', 0.020509724365766625), ('department', 0.018895127621290166), ('receive', 0.01780147119749286), ('nelnet', 0.016819931749324012), ('borrower', 0.013658317589517877), ('federal', 0.011821040047992368), ('information', 0.010737878455821774), ('service', 0.01054582670521162)]","[('credit', 0.06390940360910609), ('report', 0.06005473125205081), ('account', 0.03500689617117037), ('information', 0.02695365832489672), ('debt', 0.019519567989034464), ('late', 0.016089259696327914), ('reporting', 0.0135822948022782), ('right', 0.012231745376686583), ('financial', 0.011230951322502696)]","[('payment', 0.055322176799077236), ('account', 0.022782272306996768), ('plan', 0.016388463028682167), ('receive', 0.016278770253931152), ('due', 0.014674851212220895), ('email', 0.014263172516000159), ('mohela', 0.014179431973363556), ('forbearance', 0.01098560493826511), ('pay', 0.01040946215035829)]","[('payment', 0.044894846117917726), ('refund', 0.03227519432437649), ('pslf', 0.020500630200319666), ('forgiveness', 0.020064636561574135), ('service', 0.015526229945862094), ('receive', 0.015255756794943457), ('process', 0.014936858898959552), ('count', 0.014510876800068616), ('qualify', 0.012949026853498736)]"
"[('payment', 0.029194309370253732), ('pay', 0.023576217649027897), ('student', 0.02183950794639073), ('interest', 0.021161774084175824), ('navient', 0.017991573936794607), ('school', 0.011314981157165855), ('forbearance', 0.008498987927512877), ('even', 0.007505276021381824), ('balance', 0.007286495553169827)]","[('student', 0.022064721616039455), ('education', 0.01748352584197522), ('department', 0.01731895414885675), ('receive', 0.017101813805936797), ('nelnet', 0.01503307849733345), ('borrower', 0.01283533831483632), ('federal', 0.011165256547092871), ('email', 0.011099742901752864), ('information', 0.010949796929436961)]","[('credit', 0.06110066520634449), ('report', 0.056013650163711674), ('account', 0.03570085265087907), ('information', 0.02483951066967315), ('debt', 0.017905314101201247), ('late', 0.017434923687070815), ('reporting', 0.014106824010901407), ('right', 0.012638607364728473), ('payment', 0.011181177840072243)]","[('payment', 0.05063853893908025), ('account', 0.021573977081542187), ('plan', 0.018984596977454003), ('receive', 0.014383727469486957), ('due', 0.013717739796614219), ('email', 0.013640723100708213), ('mohela', 0.012758699260293906), ('nelnet', 0.012157847105360473), ('application', 0.011816418552410737)]","[('payment', 0.04276902838688485), ('refund', 0.031107894109562283), ('mohela', 0.02944288927656336), ('pslf', 0.01947537418792549), ('receive', 0.017217224548343856), ('forgiveness', 0.01674826594774165), ('process', 0.01491604127108493), ('count', 0.01344558678973346), ('service', 0.013361946415188208)]"
